	代码	评分	收盘价	涨幅%	日期	金叉	趋势	量能	阳线	MA20上方
1	000935	100	31.03	8.16	2026-05-12	YES	YES	YES	YES	YES
2	002897	100	72.4	6.3	2026-05-12	YES	YES	YES	YES	YES
3	603558	100	13.85	3.51	2026-05-12	YES	YES	YES	YES	YES
4	300782	100	109.9	2.34	2026-05-12	YES	YES	YES	YES	YES
5	003022	100	25.58	2.12	2026-05-12	YES	YES	YES	YES	YES
6	600032	80	11.44	7.02	2026-05-12	YES	---	YES	YES	YES
7	600644	80	12.25	3.55	2026-05-12	YES	---	YES	YES	YES
8	601636	80	6.79	3.51	2026-05-12	YES	YES	---	YES	YES
9	603358	80	35.7	3.51	2026-05-12	YES	---	YES	YES	YES
10	000537	80	11.19	3.13	2026-05-12	YES	---	YES	YES	YES
11	600821	80	9	2.04	2026-05-12	YES	---	YES	YES	YES
12	603833	80	49.05	1.13	2026-05-12	YES	YES	---	YES	YES
13	001896	80	16.98	1.01	2026-05-12	YES	---	YES	YES	YES
14	600292	80	16.06	0.82	2026-05-12	YES	YES	---	YES	YES
15	603701	80	26.17	0.58	2026-05-12	YES	YES	---	YES	YES
16	002841	80	39.21	0.18	2026-05-12	YES	YES	---	YES	YES
17	605189	80	19.45	-2.6	2026-05-12	YES	YES	YES	---	YES
18	603618	70	40.45	8.45	2026-05-12	---	YES	YES	YES	YES
19	000066	70	25.36	8.38	2026-05-12	---	YES	YES	YES	YES
20	603916	70	14.46	8.23	2026-05-12	---	YES	YES	YES	YES
